Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_11_438.jpg;0;0;1;0;99.66999;85.58897;0.0002359167;56.82556;-3.826192E-07
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_11_501.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_11_568.jpg;0;0;0;0;99.66999;85.58897;0.0002359167;56.82556;-3.826192E-07
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_11_636.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_11_704.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_11_771.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_11_839.jpg;0;0;0;0;99.66999;85.58897;0.0002358862;56.82556;-2.803334E-07
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_11_908.jpg;-1.522849;0;0;0;99.66999;85.58897;0.0002360185;56.64282;6.367542E-07
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_11_974.jpg;-4.535275;0;0;0;99.66999;85.58897;0.0002368709;55.73744;4.331518E-06
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_12_040.jpg;-7.591265;0;0;0;99.66999;85.58897;0.0002372811;54.46158;9.305444E-06
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_12_108.jpg;-10.63009;0;0;0;99.66999;85.58897;0.0002378266;52.73408;1.531783E-05
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_12_175.jpg;-13.66197;0.2021253;0;0;99.67014;85.58901;0.002497702;52.65804;-0.001889103
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_12_242.jpg;-13.50133;0.4023256;0;0.02234705;99.67142;85.59039;0.04278035;52.88145;-0.00563426
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_12_309.jpg;-10.4747;0.6041012;0;0.03848368;99.67412;85.59354;0.1280613;52.95697;359.9893
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_12_377.jpg;-7.41679;0.8079619;0;0.08516087;99.68036;85.60089;0.3159755;52.80535;359.9796
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_12_445.jpg;-4.404918;1;0;0.1207183;99.68742;85.60995;0.5186733;52.74135;359.9919
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_12_512.jpg;-1.425081;1;0;0.1813451;99.69674;85.62147;0.7486625;52.50656;0.002298341
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_12_579.jpg;0;1;0;0.2397735;99.7127;85.64196;1.107097;52.44403;-0.0009849316
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_12_646.jpg;0;1;0;0.2946005;99.72604;85.65929;1.318866;52.58266;-0.003293024
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_12_714.jpg;0;1;0;0.3430009;99.74281;85.68044;1.21339;52.52377;-0.0004660247
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_12_781.jpg;0;1;0;0.4083622;99.75768;85.69949;1.11478;52.42446;-0.0002707242
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_12_849.jpg;0;1;0;0.4834193;99.77542;85.72252;1.101561;52.61526;-0.001609607
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_12_916.jpg;0;1;0;0.5264031;99.80196;85.75704;1.14187;52.70576;-2.895401E-05
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_12_983.jpg;0;1;0;0.5899518;99.82491;85.78686;1.226901;52.66223;-0.0006486431
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_13_051.jpg;0;1;0;0.6216403;99.8482;85.81722;1.236815;52.63615;-0.0007622238
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_13_118.jpg;0;1;0;0.6927451;99.88163;85.86069;1.203044;52.57683;-0.0003988802
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_13_185.jpg;-2.984289;1;0;0.7447535;99.90963;85.89607;1.187116;52.44078;-7.789688E-05
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_13_250.jpg;-6.038321;1;0;0.8071349;99.94061;85.93366;1.202031;52.18524;0.0005518459
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_13_320.jpg;-8.996172;1;0;0.8574381;99.98638;85.98595;1.212351;51.43136;0.003060343
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_13_387.jpg;-12.10522;1;0;0.9209028;100.0242;86.02649;1.208367;50.67984;0.003613387
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_13_454.jpg;-9.091039;1;0;0.9622154;100.0781;86.08294;1.203795;49.67273;0.004032115
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_13_522.jpg;-6.068415;1;0;1.020709;100.1211;86.12825;1.221752;49.18864;0.002167156
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_13_589.jpg;-3.034355;1;0;1.084931;100.1656;86.17579;1.226998;48.88542;0.001281781
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_13_657.jpg;0;1;0;1.129976;100.2267;86.24355;1.226251;48.77843;-0.0001604661
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_13_724.jpg;0;1;0;1.179735;100.2741;86.29719;1.223343;48.73338;-0.0005918801
